title,author,price,description,author_description,genres,n_ratings,n_reviews,ratings,pages_format,publication_info,literary_awards,original_title,series,characters,format,published,isbn,language,setting
Shadow Crossing,Catherine Spangler,2.99,"Reformed smuggler Celie Cameron unexpectedly finds herself immersed in a world of danger and betrayal when a routine delivery goes horribly wrong, leading her into the arms of sexy pilot Rurick, and together they vow to save the Verante quadrant from destruction, while surrending to fierce passion. Original."," Catherine Spangler is a bestselling and award winning author of the Shielder series (futuristic romance)and the Sentinel Series (romantic urban fantasy). She is a two-time Golden Heart finalist and a RITA finalist and has received numerous other awards and honorable mentions.She is an active member of Romance Writers of America and her local chapter, Dallas Area Romance Authors. A frequent speaker at writers' groups and conferences, she has taught workshops on the creative process, writing techniques, writing paranormal romance, and goal setting.She lives in north Texas with her husband and a menagerie of critters. She loves reading, taking naps on the sofa with a good football game for background noise, eating chocolate, and playing poker.Catherine's fun fact: I celebrated the sale of my first book, Shielder, by drinking champagne from a plastic cowboy boot mug. My critique partners brought four of them to my house, along with the champagne. Drinking champagne from those cowboy boot mugs every time one of us sold a book became a tradition, which we still honor.","['Romance', 'Science Fiction', 'Futuristic', 'Fantasy', 'Science Fiction Romance', 'Futuristic Romance']",259.0,12.0,"[5.0, 14.0, 55.0, 97.0, 88.0]","368 pages, Paperback","First published April 1, 2003",,Shadow Crossing (Shielder #4),['Shielder'],,"368 pages, Paperback","January 1, 2003 by Love Spell",9780505525246 (ISBN10: 0505525240),English,
Travels in a Thin Country: A Journey Through Chile,Sara Wheeler,6.99,"Squeezed between a vast ocean and the longest mountain range on earth, Chile is 2,600 miles long and never more than 110 miles wide--not a country that lends itself to maps, as Sara Wheeler discovered when she traveled alone from the top to the bottom, from the driest desert in the world to the sepulchral wastes of Antarctica. Eloquent, astute, nimble with history and deftly amusing, Travels in a Thin Country established Sara Wheeler as one of the very best travel writers in the world.","Sara Wheeler was brought up in Bristol and studied Classics and Modern Languages at Brasenose College, University of Oxford. After writing about her travels on the Greek island of Euboea and in Chile, she was accepted by the US National Science Foundation as their first female writer-in-residence at the South Pole, and spent seven months in Antarctica.In her resultant book Terra Incognita: Travels in Antarctica, she mentioned sleeping in the captain’s bunk in Scott's Hut. Whilst in Antarctica she read The Worst Journey in the World, an account of the Terra Nova Expedition, and she later wrote a biography of its author Apsley Cherry-Garrard.In 1999 she was elected a Fellow of the Royal Society of Literature. From 2005 to 2009 she served as Trustee of the London Library.She was frequently abroad for two years, travelled to Russia, Alaska, Greenland, Canada and North Norway to write her book The Magnetic North: Travels in the Arctic. A journalist at the Daily Telegraph in the UK called it a ""snowstorm of historical, geographical and anthropological facts"".In a 2012 BBC Radio 4 series: To Strive and Seek, she told the personal stories of five various members of the Terra Nova Expedition.O My America!: Second Acts in a New World records the lives of women who travelled to America in the first half of the 19th Century: Fanny Trollope, Fanny Kemble, Harriet Martineau, Rebecca Burlend, Isabella Bird, and Catherine Hubback, and the author's travels in pursuit of them.","['Travel', 'Nonfiction', 'Memoir', 'Adventure', 'Travelogue', 'History', 'The Americas', '...more']",1057.0,133.0,"[28.0, 106.0, 331.0, 391.0, 201.0]","336 pages, Paperback","Published March 16, 1999",,,,,"336 pages, Paperback","March 16, 1999 by Modern Library",9780375753657 (ISBN10: 0375753656),English,['Chile']
Turtles All the Way Down,John Green,9.99,"JOHN GREEN, the acclaimed author of Looking for Alaska and The Fault in Our Stars, returns with a story of shattering, unflinching clarity in this brilliant novel of love, resilience, and the power of lifelong friendship.Aza Holmes never intended to pursue the disappearance of fugitive billionaire Russell Pickett, but there’s a hundred-thousand-dollar reward at stake and her Best and Most Fearless Friend, Daisy, is eager to investigate. So together, they navigate the short distance and broad divides that separate them from Pickett’s son Davis. Aza is trying. She is trying to be a good daughter, a good friend, a good student, and maybe even a good detective, while also living within the ever-tightening spiral of her own thoughts.","Librarian Note: There is more than one author in the Goodreads database with this name.John Green's first novel, Looking for Alaska, won the 2006 Michael L. Printz Award presented by the American Library Association. His second novel, An Abundance of Katherines, was a 2007 Michael L. Printz Award Honor Book and a finalist for the Los Angeles Times Book Prize. His next novel, Paper Towns, is a New York Times bestseller and won the Edgar Allen Poe Award for Best YA Mystery. In January 2012, his most recent novel, The Fault in Our Stars, was met with wide critical acclaim, unprecedented in Green's career. The praise included rave reviews in Time Magazine and The New York Times, on NPR, and from award-winning author Markus Zusak. The book also topped the New York Times Children's Paperback Bestseller list for several weeks. Green has also coauthored a book with David Levithan called Will Grayson, Will Grayson, published in 2010. The film rights for all his books, with the exception of Will Grayson Will Grayson, have been optioned to major Hollywood Studios.In 2007, John and his brother Hank were the hosts of a popular internet blog, ""Brotherhood 2.0,"" where they discussed their lives, books and current events every day for a year except for weekends and holidays. They still keep a video blog, now called ""The Vlog Brothers,"" which can be found on the  Nerdfighters website, or a direct link here.","['Young Adult', 'Fiction', 'Contemporary', 'Mental Health', 'Romance', 'Audiobook', 'Realistic Fiction', '...more']",560737.0,49967.0,"[10093.0, 36067.0, 134058.0, 206975.0, 173544.0]","290 pages, Hardcover","First published October 10, 2017","['Lincoln Award Nominee (2020)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2017)', 'Alabama Author Award for Young Adult (2020)', 'Hea Noorteraamat (2018)']",Turtles All the Way Down,,"['Aza Holmes', 'Davis Pickett', 'Daisy Ramirez', 'Mychal Turner', 'Noah Pickett']","290 pages, Hardcover","October 10, 2017 by Dutton Books for Young Readers",9780525555360 (ISBN10: 0525555366),English,"['Indianapolis, Indiana', 'Indiana']"
All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,6.99,"Presents an analysis of current marketing trends, maintaining that the marketing campaigns that succeed are those that cater to the inclination of consumers to believe the best story, irrespective of the facts.","Seth Godin is a bestselling author, entrepreneur and agent of change.Godin is author of ten books that have been bestsellers around the world, and he is also a renowned speaker. He was recently chosen as one of 21 Speakers for the Next Century by Successful Meetings and is consistently rated among the very best speakers by the audiences he addresses.Seth was founder and CEO of Yoyodyne, the industry's leading interactive direct marketing company, which Yahoo! acquired in late 1998.He holds an MBA from Stanford, and was called ""the Ultimate Entrepreneur for the Information Age"" by Business Week.","['Business', 'Nonfiction', 'Psychology', 'Buisness', 'Entrepreneurship', 'Self Help', 'Economics', '...more']",15721.0,632.0,"[445.0, 974.0, 3647.0, 5582.0, 5073.0]","208 pages, Hardcover","First published January 1, 2005",,All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,,,"208 pages, Hardcover","May 19, 2005 by Portfolio Hardcover",9781591841005 (ISBN10: 1591841003),English,
The Days Are Just Packed,Bill Watterson,8.99,"Zounds! Spaceman Spiff, Stupendous Man, the ferocious tiger Hobbes, and the rest of Calvin's riotous imagination are all included in The Days Are Just Packed.Calvin, the self-proclaimed ""Boy of Destiny,"" continues to save the universe with his alter egos, Spaceman Spiff and Stupendous Man, at least until Miss Wormwood or his mother bring him back to reality. Susie, Calvin's nemesis and love interest, remains Calvin's favorite target. And when he's not recovering from a ferocious tiger attack, Calvin creates hideous snowmen, plays a moral cat-and-mouse game with Santa, conducts his infamous Dad polls, and combats the monsters under his bed.","Bill Watterson (born William Boyd Watterson II) is an American cartoonist, and the author of the comic strip ""Calvin and Hobbes"". His career as a syndicated cartoonist ran from 1985 to 1995; he stopped drawing ""Calvin and Hobbes"" at the end of 1995 with a short statement to newspaper editors and his fans that he felt he had achieved all he could in the comic strip medium. During the early years of his career he produced several drawings and additional contributions for ""Target: The Political Cartoon Quarterly"". Watterson is known for his views on licensing and comic syndication, as well as for his reclusive nature.","['Comics', 'Humor', 'Fiction', 'Graphic Novels', 'Comic Strips', 'Graphic Novels Comics', 'Comedy', '...more']",24598.0,351.0,"[221.0, 239.0, 1154.0, 4253.0, 18731.0]","176 pages, Paperback","First published September 1, 1993",,The Days Are Just Packed,"['The Complete Calvin and Hobbes', 'Calvin and Hobbes']","['Calvin', 'Hobbes']","176 pages, Paperback","September 1, 1993 by Andrews McMeel Publishing",9780836217353 (ISBN10: 0836217357),English,
The Three Billy Goats Gruff,Vera Southgate,5.99,"This beautiful Ladybird ebook edition of The Three Billy Goats Gruff is a perfect first illustrated introduction to this classic fairy tale for young readers from 3+. The tale is sensitively retold, following the three goats as they try to cross the river to eat the green green grass on the other side. Other exciting titles in the Ladybird Tales series include The Little Red Hen, Cinderella, The Three Little Pigs, Jack and the Beanstalk, Goldilocks and the Three Little Pigs, The Gingerbread Man, Hansel and Gretel, Little Red Riding Hood, Sleeping Beauty, Rumpelstiltskin, Snow White and the Seven Dwarfs, Rapunzel, The Magic Porridge Pot, The Enormous Turnip, Puss in Boots, The Elves and the Shoemaker, The Big Pancake, Dick Whittington, The Princess and the Frog, The Princess and the Pea, The Ugly Duckling, Chicken Licken and Beauty and the Beast. Ladybird Tales are based on the original Ladybird retellings, with beautiful pictures of the kind children like best - full of richness and detail. Children have always loved, and will always remember, these classic fairy tales and sharing them together is an experience to treasure. Ladybird has published fairy tales for over forty-five years, bringing the magic of traditional stories to each new generation of children.",,"['Childrens', 'Fiction', 'Picture Books', 'Fairy Tales', 'Fantasy', 'Classics', 'Animals']",314.0,30.0,"[1.0, 14.0, 77.0, 81.0, 141.0]","52 pages, Paperback","First published January 1, 1968",,,['Ladybird – Well Loved Tales Series 606D'],,"52 pages, Paperback","January 6, 1981 by Ladybird",9780721402222 (ISBN10: 0721402224),English,
Batavia's Graveyard: The True Story of the Mad Heretic Who Led History's Bloodiest Mutiny,Mike Dash,13.99,"In 1628 the Dutch East India Company loaded the Batavia, the flagship of its fleet, with a king’s ransom in gold, silver, and gems for her maiden voyage to Java; the ship itself was a tangible symbol of the world’s richest and most powerful monopoly.The company also sent along a new employee to guard its treasure. He was Jeronimus Corneliszoon, a disgraced and bankrupt man with great charisma and dangerously heretical ideas. With the help of a few disgruntled sailors, he hatched a plot to seize the ship and her riches. The mutiny might have succeeded, but in the dark morning hours of June 3, 1629, the Batavia smashed through a coral reef and ran aground on a small chain of islands near Australia. The captain and skipper escaped the wreck, and in a tiny lifeboat they set sail for Java—some 1,500 miles north—to summon help. More than 250 frightened survivors waded ashore, thankful to be alive. Unfortunately, Jeronimus and the mutineers had survived too, and the nightmare was only beginning.","Mike Dash, the author of Tulipomania, Batavia's Graveyard, Thug, Satan's Circus and now The First Family, was born, in 1963, just outside London, and educated at Gatow School, Berlin, Wells Cathedral School, Somerset, and Peterhouse, Cambridge, where he read history and ran the Cambridge student magazine. From there he moved on to King's College, London, where in 1990 he completed an unusually obscure PhD thesis describing British submarine policy between the Crimean and the First World Wars.Dash's first job, for which he was thoroughly unqualified, was compiling about a quarter of the entries for Harrap's Dictionary of Business and Finance (1988), a volume that he researched via clandestine meetings in a London Spud-U-Like with a college friend who had gone into banking. From there, he began a six-year career in journalism book-ended by stints as a gossip columnist for Fashion Weekly and a section editor at UK Press Gazette, the journalists' newspaper.While still at UKPG, Dash took a phone call from John Brown, the maverick publisher of Viz, who asked him to suggest the names of some possible magazine publishers with an editorial background and some knowledge of the newstrade, Unsurprisingly nominating himself, Dash found himself hired to take over the eccentric portfolio of Viz Comic and Gardens Illustrated.Dash's first book, The Limit (1995), was published by BBC Books and his second, Borderlands (1997) by Heinemann. He has since written five works of historical non fiction, all of them acclaimed for combining detailed original research with a compelling narrative style.Having written his first three books while still with John Brown Publishing, Dash has been a full-time writer since 2001. He lives in London with his wife and daughter.'History doesn't get much more readable.'New York Daily News'Dash writes with unabashedly cinematic flair, backed by meticulous research.'New York Times'Dash captures the reader with narrative based on dogged research, more richly evocative of character and place than any fiction, and so well written he is impossible to put down.'The Australian'An indefatigable researcher with a prodigious descriptive flair.'Sunday Telegraph'Dash writes the best kind of history: detailed, imaginative storytelling founded on vast knowledge.'Minneapolis Star-Tribune","['History', 'Nonfiction', 'Australia', 'True Crime', 'Survival', 'Adventure', 'Maritime', '...more']",3773.0,333.0,"[32.0, 99.0, 614.0, 1536.0, 1492.0]","512 pages, Paperback","First published February 12, 2002",,Batavia's Graveyard: The True Story of the Mad Heretic Who Led History's Bloodiest Mutiny,,['Jeronimus Corneliszoon'],"512 pages, Paperback","May 27, 2003 by Crown",9780609807163 (ISBN10: 0609807161),English,
Murder on the Orient Express,Agatha Christie,5.99,"Just after midnight, a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans. The luxurious train is surprisingly full for the time of the year but, by the morning, it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside.One of the passengers is none other than detective Hercule Poirot. On vacation. Isolated and with a killer on board, Poirot must identify the murderer—in case he or she decides to strike again.","Agatha Christie also wrote romance novels under the pseudonym Mary Westmacott, and was occasionally published under the name Agatha Christie Mallowan.Dame Agatha Mary Clarissa Christie, Lady Mallowan, DBE (née Miller) was an English writer known for her 66 detective novels and 14 short story collections, particularly those revolving around fictional detectives Hercule Poirot and Miss Marple. She also wrote the world's longest-running play, the murder mystery The Mousetrap, which has been performed in the West End of London since 1952. A writer during the ""Golden Age of Detective Fiction"", Christie has been called the ""Queen of Crime"". She also wrote six novels under the pseudonym Mary Westmacott. In 1971, she was made a Dame (DBE) by Queen Elizabeth II for her contributions to literature. Guinness World Records lists Christie as the best-selling fiction writer of all time, her novels having sold more than two billion copies.This best-selling author of all time wrote 66 crime novels and story collections, fourteen plays, and six novels under a pseudonym in romance. Her books sold more than a billion copies in the English language and a billion in translation. According to Index Translationum, people translated her works into 103 languages at least, the most for an individual author. Of the most enduring figures in crime literature, she created Hercule Poirot and Miss Jane Marple. She atuhored The Mousetrap, the longest-running play in the history of modern theater. Associated Names:Agata ChristieAgata KristiАгата Кристи (Russian)Αγκάθα Κρίστι (Greek)","['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Detective', '...more']",617434.0,40015.0,"[3251.0, 13885.0, 95353.0, 249804.0, 255141.0]","274 pages, Paperback","First published January 1, 1934",['CWA Best Ever Nominee for Crime Novel (2013)'],Murder on the Orient Express,['Hercule Poirot'],"['Samuel Edward Ratchett', 'Hector MacQueen', 'Henry Masterman', 'Colonel Arbuthnot', 'Caroline Martha Hubbard', 'Count Rudolf Andrenyi', 'Countess Elena Andrenyi', 'Princess Natalia Dragomiroff', 'Mary Debenham', 'Hildegarde Schmidt', 'Antonio Foscarelli', 'Greta Ohlsson', 'Pierre Michel', 'Cyrus Hardman', 'Dr. Constantine', 'Monsieur Bouc', 'Hercule Poirot']","274 pages, Paperback","June 4, 2007 by HarperCollins",9780007119318 (ISBN10: 0007119313),English,"['Yugoslavia', 'Orient Express']"
The Road to Woodbury,Robert Kirkman,12.99,"The first book explained how the Governor was created; this thrilling sequel to The New York Times bestseller further reveals his ruthless, inhuman conquest of WoodburyThe zombie plague unleashes its horrors on the suburbs of Atlanta without warning, pitting the living against the dead. Caught in the mass exodus, Lilly Caul struggles to survive in a series of ragtag encampments and improvised shelters. But the Walkers are multiplying. Dogged by their feral hunger for flesh and crippled by fear, Lilly relies on the protection of good Samaritans by seeking refuge in a walled-in town once known as Woodbury, Georgia.At first, Woodbury seems like a perfect sanctuary. Squatters barter services for food, people have roofs over their heads, and the barricade expands, growing stronger every day. Best of all, a mysterious self-proclaimed leader named Philip Blake keeps the citizens in line. But Lilly begins to suspect that all is not as it seems… Blake, who has recently begun to call himself The Governor, has disturbing ideas about law and order.Ultimately, Lilly and a band of rebels open up a Pandora's box of mayhem and destruction when they challenge The Governor's reign… and the road to Woodbury becomes the highway to hell in this riveting follow-up to Robert Kirkman and Jay Bonansinga's New York Times bestselling The Walking Dead: Rise of the Governor.","Robert Kirkman is an American comic book writer best known for his work on The Walking Dead, Invincible for Image Comics, as well as Ultimate X-Men and Marvel Zombies for Marvel Comics. He has also collaborated with Image Comics co-founder Todd McFarlane on the series Haunt. He is one of the five partners of Image Comics, and the only one of the five who was not one of the original co-founders of that publisher.Robert Kirkman's first comic books were self-published under his own Funk-o-Tron label. Along with childhood friend Tony Moore, Kirkman created Battle Pope which was published in late 2001. Battle Pope ran for over 2 years along with other Funk-o-Tron published books such as InkPunks and Double Take. In July of 2002, Robert's first work for another company began, with a 4-part SuperPatriot series for Image, along with Battle Pope backup story artist Cory Walker. Robert's creator-owned projects followed shortly thereafter, including Tech Jacket, Invincible and Walking Dead.","['Horror', 'Zombies', 'Fiction', 'Post Apocalyptic', 'Fantasy', 'Apocalyptic', 'Thriller', '...more']",10786.0,888.0,"[211.0, 919.0, 3386.0, 3659.0, 2611.0]","277 pages, Hardcover","First published October 1, 2012",,The Road to Woodbury,['The Walking Dead: Novels'],,"277 pages, Hardcover","October 16, 2012 by Thomas Dunne Books",9780312547745 (ISBN10: 0312547749),English,
Empire of Ice and Stone: The Disastrous and Heroic Voyage of the Karluk,Buddy Levy,12.99,"The true, harrowing story of the ill-fated 1913 Canadian Arctic Expedition and the two men who came to define it.In the summer of 1913, the wooden-hulled brigantine Karluk departed Canada for the Arctic Ocean. At the helm was Captain Bob Bartlett, considered the world’s greatest living ice navigator. The expedition’s visionary leader was a flamboyant impresario named Vilhjalmur Stefansson hungry for fame.Just six weeks after the Karluk departed, giant ice floes closed in around her. As the ship became icebound, Stefansson disembarked with five companions and struck out on what he claimed was a 10-day caribou hunting trip. Most on board would never see him again.Twenty-two men and an Inuit woman with two small daughters now stood on a mile-square ice floe, their ship and their original leader gone. Under Bartlett’s leadership they built make-shift shelters, surviving the freezing darkness of Polar night. Captain Bartlett now made a difficult and courageous decision. He would take one of the young Inuit hunters and attempt a 1000-mile journey to save the shipwrecked survivors. It was their only hope.Set against the backdrop of the Titanic disaster and World War I, filled with heroism, tragedy, and scientific discovery, Buddy Levy's Empire of Ice and Stone tells the story of two men and two distinctively different brands of leadership―one selfless, one self-serving―and how they would forever be bound by one of the most audacious and disastrous expeditions in polar history, considered the last great voyage of the Heroic Age of Discovery.","Buddy Levy BIO--Writer, educator, public speaker and entertainer, Buddy Levy is the author of Empire of Ice & Stone (St. Martin's Press, 2022); Labyrinth of Ice: The Triumphant and Tragic Greely Polar Expedition (St. Martin’s Press, 2019); No Barriers: A Blind Man’s Journey to Kayak the Grand Canyon (co-authored with Erik Weihenmayer, Thomas Dunne Books, 2017; a national bestseller and Honorable Mention Award Winner in the Outdoor Literature category of the 2017 National Outdoor Book Awards); Geronimo: Leadership Strategies of An American Warrior (with Mike Leach, Gallery Books/Simon & Schuster, 2014); River of Darkness: Francisco Orellana’s Legendary Voyage of Death and Discovery Down the Amazon (Bantam Dell, 2011). His other books include Conquistador: Hernan Cortes, King Montezuma, and the Last Stand of the Aztecs (Bantam Dell, 2008), which was a finalist for the Pacific Northwest Booksellers Association Award, 2009, and nominated for the Before Columbus Foundation American Book Award, 2009, and the PEN Center USA Award 2009; American Legend: The Real-Life Adventures of David Crockett (Putnam, 2005, Berkley Books, 2006); and Echoes On Rimrock: In Pursuit of the Chukar Partridge (Pruett, 1998). His books have been published in six languages. CONQUISTADOR is currently being considered for a television series. As a freelance journalist Levy has covered adventure sports and lifestyle/travel subjects around the world, including several Eco-Challenges and other adventure expeditions in Argentina, Borneo, Europe, Greenland, Morocco, and the Philippines. His magazine articles and essays have appeared in Alaska Airlines Magazine, Backpacker, Big Sky Journal, Couloir, Discover, Denver 5280, Hemispheres, High Desert Journal, Poets & Writers, River Teeth, Ski, Trail Runner, Utne Reader, TV Guide, and VIA. He is clinical associate professor of English at Washington State University, and lives in northern Idaho with his wife Camie, and his black Labs Dugan and CJ. ","['Nonfiction', 'History', 'Adventure', 'Survival', 'Historical', 'Travel', 'Audiobook', '...more']",1819.0,349.0,"[14.0, 13.0, 136.0, 685.0, 971.0]","432 pages, Hardcover","First published December 6, 2022","['Audie Award Nominee for History/Biography (2024)', 'National Outdoor Book Award for History/Biography (2023)']",Empire of Ice and Stone: The Disastrous and Heroic Voyage of the Karluk,,,"432 pages, Hardcover","December 6, 2022 by St. Martin's Press",9781250274441 (ISBN10: 1250274443),English,
The Art of Hearing Heartbeats,Jan-Philipp Sendker,10.99,"The first book in the Art of Hearing Heartbeats series, this is a passionate love story, a haunting fable, and an enchanting mystery set in Burma.When a successful New York lawyer suddenly disappears without a trace, neither his wife nor his daughter Julia has any idea where he might be…until they find a love letter he wrote many years ago, to a Burmese woman they have never heard of. Intent on solving the mystery and coming to terms with her father’s past, Julia decides to travel to the village where the woman lived. There she uncovers a tale of unimaginable hardship, resilience, and passion that will reaffirm the reader’s belief in the power of love to move mountains.","Jan-Philipp Sendker, born in Hamburg in 1960, and, longing to travel the world, became the American correspondent for Stern from 1990 to 1995, and its Asian correspondent from 1995 to 1999. In 2000 he published Cracks in the Great Wall, a nonfiction book about China. The Art of Hearing Heartbeats is his first novel, and since then, he has written 3 further novels, including a sequel to ""The Art of Hearing Heartbeats"", ""A Well-Tempered Heart"". In 2013, he received The indies Choice Honor Award in the category Adult Fiction for ""The Art of Hearing Heartbeats. He lives in Potsdam with his family and is currently working on the third installment in his China-trilogy. http://artofhearingheartbeats.com","['Fiction', 'Historical Fiction', 'Romance', 'Book Club', 'Asia', 'Audiobook', 'Adult Fiction', '...more']",81954.0,7873.0,"[1106.0, 4101.0, 16160.0, 30928.0, 29659.0]","325 pages, Paperback","First published January 1, 2002",,Das Herzenhören,['The Art of Hearing Heartbeats'],,"325 pages, Paperback","January 31, 2012 by Other Press",9781590514634 (ISBN10: 1590514637),English,"['Burma', 'Myanmar']"
Flower Fairies of the Autumn,Cicely Mary Barker,3.95,Illustrated poems depict the fairies who live among the plants of autumn.,"Cicely Mary Barker was the illustrator who created the famous Flower Fairies; those ethereal smiling children with butterfly wings. As a child she was influenced by the works of the illustrator Kate Greenaway, whom she assiduously copied in her formative years. Her principal influence, however, was the artwork of the Pre-Raphaelites.","['Poetry', 'Picture Books', 'Childrens', 'Art', 'Fantasy', 'Fairies', 'Classics', '...more']",1523.0,86.0,"[20.0, 45.0, 258.0, 432.0, 768.0]","56 pages, Hardcover","First published January 1, 1926",,Flower Fairies of the Autumn: With the Nuts and Berries They Bring (Flower Fairies),['Flower Fairies'],,"56 pages, Hardcover","January 1, 1991 by Warner",9780723237556 (ISBN10: 0723237557),English,
Michelle Obama: A Life,Peter Slevin,13.99,"This is the inspiring story of a modern American icon, the first comprehensive account of the life and times of Michelle Obama.With disciplined reporting and a storyteller’s eye for revealing detail, Peter Slevin follows Michelle to the White House from her working-class childhood on Chicago’s largely segregated South Side. He illuminates her tribulations at Princeton University and Harvard Law School during the racially charged 1980s and the dilemmas she faced in Chicago while building a high-powered career, raising a family, and helping a young community organizer named Barack Obama become president of the United States.From the lessons she learned in Chicago to the messages she shares as one of the most recognizable women in the world, the story of this First Lady is the story of America. Michelle A Life is a fresh and compelling view of a woman of unique achievement and purpose.   ",,"['Biography', 'Nonfiction', 'Politics', 'History', 'Biography Memoir', 'Womens', 'Feminism', '...more']",1728.0,192.0,"[23.0, 85.0, 366.0, 671.0, 583.0]","432 pages, Paperback","First published April 7, 2015",['PEN/Jacqueline Bograd Weld Award for Biography Nominee for Shortlist (2016)'],,,,"432 pages, Paperback","January 26, 2016 by Vintage",9780307949318 (ISBN10: 0307949311),English,
The Frame-Up,Meghan Scott Molin,0.0,"By day she writes comic books. By night, she lives them.MG Martin lives and breathes geek culture. She even works as a writer for the comic book company she idolized as a kid. But despite her love of hooded vigilantes, MG prefers her comics stay on the page.But when someone in LA starts recreating crime scenes from her favorite comic book, MG is the LAPD’s best—and only—lead. She recognizes the golden arrow left at the scene as the calling card of her favorite comic book hero. The thing is…superheroes aren’t real. Are they?When the too-handsome-for-his-own-good Detective Kildaire asks for her comic book expertise, MG is more than up for the adventure. Unfortunately, MG has a teeny little tendency to not follow rules. And her off-the-books sleuthing may land her in a world of trouble.Because for every superhero, there is a supervillain. And the villain of her story may be closer than she thinks…",,"['Mystery', 'Fiction', 'Romance', 'Contemporary', 'Adult', 'Audiobook', 'Humor', '...more']",6014.0,854.0,"[147.0, 429.0, 1464.0, 2278.0, 1696.0]","306 pages, Kindle Edition","First published December 1, 2018",,The Frame-Up,['The Golden Arrow'],,"306 pages, Kindle Edition","December 1, 2018 by 47North",9781503959194 (ISBN10: 1503959198),English,
Tribe: On Homecoming and Belonging,Sebastian Junger,12.99,"Sebastian Junger, the bestselling author of War and The Perfect Storm, takes a critical look at post-traumatic stress disorder and the many challenges today’s returning veterans face in modern society.There are ancient tribal human behaviors-loyalty, inter-reliance, cooperation-that flare up in communities during times of turmoil and suffering. These are the very same behaviors that typify good soldiering and foster a sense of belonging among troops, whether they’re fighting on the front lines or engaged in non-combat activities away from the action. Drawing from history, psychology, and anthropology, bestselling author Sebastian Junger shows us just how at odds the structure of modern society is with our tribal instincts, arguing that the difficulties many veterans face upon returning home from war do not stem entirely from the trauma they’ve suffered, but also from the individualist societies they must reintegrate into.A 2011 study by the Canadian Forces and Statistics Canada reveals that 78 percent of military suicides from 1972 to the end of 2006 involved veterans. Though these numbers present an implicit call to action, the government is only just taking steps now to address the problems veterans face when they return home. But can the government ever truly eliminate the challenges faced by returning veterans? Or is the problem deeper, woven into the very fabric of our modern existence? Perhaps our circumstances are not so bleak, and simply understanding that beneath our modern guises we all belong to one tribe or another would help us face not just the problems of our nation but of our individual lives as well.Well-researched and compellingly written, this timely look at how veterans react to coming home will reconceive our approach to veteran’s affairs and help us to repair our current social dynamic.","Sebastian Junger is the #1 New York Times bestselling author of War, The Perfect Storm, Fire, and A Death in Belmont. Together with Tim Hetherington, he directed the Academy Award-nominated film Restrepo, which won the Grand Jury Prize at Sundance. He is a contributing editor to Vanity Fair and has been awarded a National Magazine Award and an SAIS Novartis Prize for journalism. He lives in New York City. ","['Nonfiction', 'Psychology', 'History', 'Sociology', 'War', 'Philosophy', 'Audiobook', '...more']",44265.0,4263.0,"[755.0, 2053.0, 8548.0, 17216.0, 15693.0]","182 pages, Kindle Edition","First published June 21, 2016",['Goodreads Choice Award Nominee for Nonfiction (2016)'],Tribe: On Homecoming and Belonging,,,"182 pages, Kindle Edition","May 24, 2016 by Twelve",,English,
Kalpa Imperial: The Greatest Empire That Never Was,Angélica Gorodischer,9.49,"This is the first of Argentinean writer Angelica Gorodischer's nineteen award-winning books to be translated into English. In eleven chapters, ""Kalpa Imperial""'s multiple storytellers relate the story of a fabled nameless empire which has risen and fallen innumerable times. Fairy tales, oral histories and political commentaries are all woven tapestry-style into Kalpa Imperial: beggars become emperors, democracies become dictatorships, and history becomes legends and stories. But this is much more than a simple political allegory or fable. It is also a celebration of the power of storytelling. Gorodischer and translator Ursula K. Le Guin are a well-matched, sly and delightful team of magician-storytellers. Rarely have author and translator been such an effortless pairing. ""Kalpa Imperial"" is a powerful introduction to the writing of Angelica Gorodischer, a novel which will enthrall readers already familiar with the worlds of Le Guin.","Angélica Beatriz del Rosario Arcal de Gorodischer es una multipremiada autora argentina reconocida como una de las figuras femeninas más importantes dentro de la Ciencia-Ficción y Fantasía iberoamericana, aunque ha trabajado otros géneros. Traducida al alemán y al inglés (en este idioma la traductora fue Ursula K. Le Guin), es autora de una docena de novelas y multitud de relatos.","['Fantasy', 'Short Stories', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'Speculative Fiction', 'Magical Realism', '...more']",1365.0,268.0,"[24.0, 77.0, 302.0, 527.0, 435.0]","246 pages, Paperback","First published January 1, 1983","[""Grand Prix de l'Imaginaire for nouvelle (2018)""]",Kalpa Imperial ,['Kalpa Imperial'],,"246 pages, Paperback","August 15, 2003 by Small Beer Press",9781931520058 (ISBN10: 1931520054),English,
